City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Fairbanks,90,US,1630304412,81,64.8378,-147.7164,52.09,6.91
Nanortalik,75,GL,1630304412,78,60.1432,-45.2371,44.08,2.53
Warrnambool,65,AU,1630304413,70,-38.3833,142.4833,62.82,17.58
Hanchuan,72,CN,1630304413,62,30.65,113.7667,95.11,10.38
Barrow,90,US,1630304224,69,71.2906,-156.7887,35.62,4.61
Imperial Beach,20,US,1630304413,87,32.5839,-117.1131,77.77,1.99
Krasnoarmeysk,4,RU,1630304414,25,51.0239,45.6969,66.29,8.41
Saint-Joseph,34,RE,1630304414,83,-21.3667,55.6167,75.58,11.39
Zaragoza,75,ES,1630304414,59,41.6561,-0.8773,66.34,7.0
Itarema,66,BR,1630304415,82,-2.9248,-39.9167,77.7,13.85
New Norfolk,98,AU,1630304415,68,-42.7826,147.0587,60.3,4.0
Yerbogachën,74,RU,1630304415,50,61.2767,108.0108,61.77,5.41
Pimentel,90,PE,1630304416,88,-6.8367,-79.9342,62.78,10.6
Qaanaaq,91,GL,1630304416,82,77.484,-69.3632,30.33,6.35
Leningradskiy,86,RU,1630304416,86,69.3833,178.4167,35.71,7.45
Perth,40,AU,1630304390,64,-31.9333,115.8333,67.01,16.11
Pangnirtung,72,CA,1630304417,89,66.1451,-65.7125,37.92,0.45
Yeniseysk,83,RU,1630304417,57,58.4497,92.1703,73.2,6.87
Monrovia,100,LR,1630304298,90,6.3005,-10.7969,73.17,4.27
Hobart,75,AU,1630304417,56,-42.8794,147.3294,60.66,1.99
Svetlaya,42,RU,1630304418,85,46.5389,138.3297,66.31,6.44
Ol'ga,27,RU,1630304418,74,43.7444,135.2892,66.22,6.04
Hofn,100,IS,1630304418,83,64.2539,-15.2082,53.91,8.05
Hasaki,3,JP,1630304419,75,35.7333,140.8333,91.8,15.88
Holly Hill,40,US,1630304419,69,29.2436,-81.0376,81.01,0.0
Massena,44,US,1630304419,93,44.9281,-74.8919,76.12,10.54
Moses Lake,1,US,1630304420,43,47.1301,-119.2781,72.61,4.61
Palas,92,ID,1630304420,59,-5.6519,105.6801,87.75,7.56
Englehart,1,CA,1630304420,82,47.8169,-79.8664,64.96,12.66
Chara,29,RU,1630304421,32,56.9064,118.2631,73.33,1.54
Fare,0,PF,1630304421,77,-16.7,-151.0167,78.69,17.25
Bredasdorp,0,ZA,1630304421,41,-34.5322,20.0403,54.72,13.8
Sur,8,OM,1630304422,56,22.5667,59.5289,87.57,2.55
Antofagasta,8,CL,1630304422,60,-23.65,-70.4,54.68,3.42
Saint-Philippe,52,RE,1630304422,85,-21.3585,55.7679,76.59,14.16
Talaya,15,RU,1630304422,34,61.3833,152.75,65.73,3.78
Norman Wells,75,CA,1630304423,82,65.282,-126.8329,53.64,8.05
Hambantota,100,LK,1630304423,63,6.1241,81.1185,86.32,19.22
Ostrovnoy,100,RU,1630304424,70,68.0531,39.5131,46.98,8.28
Yellowknife,75,CA,1630304424,88,62.456,-114.3525,59.52,3.44
Lashma,99,RU,1630304424,45,54.9321,41.1438,70.77,8.34
Ulverstone,100,AU,1630304424,89,-41.15,146.1667,54.28,12.53
Castro,94,BR,1630304425,92,-24.7911,-50.0119,52.66,7.25
Gamba,99,GA,1630304425,87,-2.65,10.0,73.89,3.62
San Quintín,49,MX,1630304425,86,30.4833,-115.95,69.91,10.04
Catabola,1,AO,1630304426,31,-12.15,17.2833,63.0,3.36
Northam,0,GB,1630304426,82,51.0333,-4.2167,59.61,9.57
Kahului,1,US,1630304426,74,20.8947,-156.47,78.82,9.22
Narsaq,40,GL,1630304427,58,60.9167,-46.05,43.02,5.86
Carroll,18,US,1630304427,83,39.5501,-77.0164,73.8,4.63
Cherskiy,100,RU,1630304427,71,68.75,161.3,49.3,1.95
Skjervøy,100,NO,1630304428,86,70.0311,20.9714,50.18,5.82
Lompoc,90,US,1630304000,93,34.6391,-120.4579,62.28,3.44
Talcahuano,90,CL,1630304428,94,-36.7167,-73.1167,53.28,4.61
Hirara,40,JP,1630304428,70,24.8,125.2833,89.87,13.8
Hay River,75,CA,1630304429,94,60.8156,-115.7999,57.18,2.3
Tynda,5,RU,1630304429,51,55.1667,124.7167,66.87,4.97
Salta,0,AR,1630304429,66,-24.7859,-65.4117,52.09,2.3
Ancud,100,CL,1630304430,87,-41.8697,-73.8203,51.42,11.32
Sola,90,VU,1630304430,74,-13.8833,167.55,81.27,5.75
Raymond,100,US,1630304430,89,43.9015,-70.4703,65.08,4.14
Hithadhoo,70,MV,1630304431,73,-0.6,73.0833,81.95,5.19
Victoria Point,34,AU,1630304431,53,-27.5833,153.3,77.43,1.99
Chokurdakh,99,RU,1630304431,80,70.6333,147.9167,46.22,9.6
Sainte-Thècle,100,CA,1630304432,98,46.8168,-72.4991,66.79,5.17
Coquimbo,90,CL,1630304432,87,-29.9533,-71.3436,55.13,5.75
Vangaindrano,2,MG,1630304432,79,-23.35,47.6,73.87,3.87
Siilinjärvi,0,FI,1630304433,82,63.0833,27.6667,53.62,8.05
East London,0,ZA,1630304433,30,-33.0153,27.9116,58.14,10.36
Cayenne,75,GF,1630304433,91,4.9333,-52.3333,77.04,1.01
Huarmey,77,PE,1630304434,86,-10.0681,-78.1522,62.65,5.75
Salalah,99,OM,1630304434,94,17.0151,54.0924,77.09,8.05
Nantucket,1,US,1630304147,86,41.2835,-70.0995,73.0,6.91
Rio Grande,0,BR,1630304434,90,-32.035,-52.0986,57.83,11.81
Praia da Vitória,20,PT,1630304435,78,38.7333,-27.0667,70.05,3.27
Elk Point,0,US,1630304435,66,42.6833,-96.6836,66.74,3.74
Henties Bay,0,NA,1630304435,73,-22.116,14.2845,55.6,6.91
Cidreira,0,BR,1630304436,86,-30.1811,-50.2056,60.44,19.48
Lebu,95,CL,1630304436,88,-37.6167,-73.65,51.15,6.31
Lagoa,2,PT,1630304436,84,39.05,-27.9833,70.63,4.23
Preobrazheniye,10,RU,1630304437,55,42.9019,133.9064,73.76,18.05
San Cristobal,86,VE,1630304437,98,7.7669,-72.225,66.18,2.55
Carnarvon,30,AU,1630304383,54,-24.8667,113.6333,71.67,21.85
Umba,52,RU,1630304437,74,66.6871,34.3429,48.56,7.23
Mar del Plata,0,AR,1630304339,93,-38.0023,-57.5575,48.22,6.91
Sarakhs,0,IR,1630304438,17,36.5449,61.1577,95.14,4.61
Okha,100,RU,1630304438,97,53.5739,142.9478,56.95,4.68
Atikokan,49,CA,1630304438,98,48.7555,-91.6216,55.33,5.39
Maragogi,24,BR,1630304439,85,-9.0122,-35.2225,73.78,8.23
Mango,40,US,1630304439,95,27.9797,-82.3065,79.14,0.0
Tanete,87,ID,1630304439,55,-3.9443,119.7848,88.63,13.44
Poso,61,ID,1630304440,83,-1.3959,120.7524,82.26,2.98
Aklavik,98,CA,1630304440,67,68.2191,-135.0107,52.63,6.91
Butaritari,25,KI,1630304440,69,3.0707,172.7902,84.07,18.72
Vestmanna,90,FO,1630304441,100,62.1564,-7.1664,50.92,16.11
Kota Kinabalu,20,MY,1630304441,74,5.9749,116.0724,87.78,9.22
Payo,85,ID,1630304441,51,-3.7508,103.6372,89.76,5.03
La Paz,20,BO,1630304442,100,-16.5,-68.15,33.78,9.22
Libochovice,42,CZ,1630304442,96,50.4063,14.0444,56.19,2.37
Mananjary,39,MG,1630304442,81,-21.2167,48.3333,73.62,2.28
Ilebo,24,CD,1630304442,81,-4.3167,20.5833,76.15,2.01
Darnah,0,LY,1630304443,55,32.767,22.6367,82.13,6.35
Qiqihar,0,CN,1630304443,57,47.3408,123.9672,66.31,5.99
Torbay,90,CA,1630304443,93,47.6666,-52.7314,54.57,17.27
Beyneu,0,KZ,1630304444,34,45.3167,55.2,79.23,7.49
Batemans Bay,100,AU,1630304444,58,-35.7167,150.1833,62.98,8.03
Ipixuna,71,BR,1630304444,95,-1.7625,-48.8043,76.95,3.13
Bowen,37,AU,1630304445,79,-20.0167,148.2333,75.85,12.84
Khani,1,GE,1630304445,38,41.9563,42.9566,76.57,3.74
Tasiilaq,1,GL,1630304445,64,65.6145,-37.6368,39.36,5.39
Saldanha,18,ZA,1630304446,82,-33.0117,17.9442,39.25,10.47
Taoudenni,28,ML,1630304446,20,22.6783,-3.9836,94.46,7.14
Itaituba,79,BR,1630304446,97,-4.2761,-55.9836,72.16,1.34
Cape Town,75,ZA,1630304237,83,-33.9258,18.4232,53.89,7.0
Quatis,91,BR,1630304447,97,-22.4072,-44.2581,61.14,1.9
Codajás,100,BR,1630304447,99,-3.8367,-62.0569,72.61,2.86
San Buenaventura,98,MX,1630304447,54,27.0833,-101.5333,85.12,9.57
Ahipara,39,NZ,1630304448,93,-35.1667,173.1667,57.96,12.35
San Patricio,39,US,1630304448,76,28.017,-97.5169,84.09,6.17
Masvingo,97,ZW,1630304448,75,-20.0637,30.8277,54.88,6.22
Krasnovishersk,93,RU,1630304449,59,60.4078,57.082,49.73,7.14
Jalu,0,LY,1630304449,27,29.0331,21.5482,84.18,10.38
Riberalta,16,BO,1630304449,55,-10.9833,-66.1,76.59,3.02
Galeana,99,MX,1630304450,57,24.8333,-100.0667,62.31,0.76
Caravelas,11,BR,1630304450,88,-17.7125,-39.2481,68.56,4.94
Ouadda,99,CF,1630304450,97,8.0777,22.4007,66.79,4.03
Muncar,68,ID,1630304451,61,-8.4333,114.3333,85.55,10.92
Vargashi,50,RU,1630304451,40,55.3556,65.8467,63.03,8.77
Sakaiminato,75,JP,1630304451,74,35.55,133.2333,85.93,6.91
Cockburn Town,14,TC,1630304452,80,21.4612,-71.1419,80.74,7.76
Bariloche,75,AR,1630304163,100,-41.1456,-71.3082,35.35,0.0
Carutapera,86,BR,1630304452,81,-1.195,-46.02,78.51,10.89
Tura,51,IN,1630304452,84,25.5198,90.2201,81.81,4.16
Virginia Beach,20,US,1630304241,93,36.8529,-75.978,78.03,3.44
Mahajanga,20,MG,1630304453,51,-15.7167,46.3167,86.02,11.5
Port Macquarie,68,AU,1630304392,49,-31.4333,152.9167,64.36,7.29
Faanui,1,PF,1630304453,73,-16.4833,-151.75,79.09,17.18
Wanning,100,CN,1630304453,68,18.8003,110.3967,87.67,8.61
Göksun,0,TR,1630304454,29,38.021,36.4973,70.75,1.5
Izhmorskiy,66,RU,1630304454,40,56.194,86.6414,76.44,8.86
Ban Nahin,64,LA,1630304454,44,18.2418,104.2122,94.98,2.89
Atambua,100,ID,1630304455,43,-9.1061,124.8925,85.32,1.86
Lake Cowichan,73,CA,1630304455,90,48.825,-124.0546,64.18,3.53
Chegutu,2,ZW,1630304456,65,-18.1302,30.1407,59.58,8.23
Meulaboh,78,ID,1630304456,63,4.1363,96.1285,85.46,5.41
Galveston,68,US,1630304456,85,29.3669,-94.9669,85.95,7.23
Toora-Khem,9,RU,1630304456,36,52.4675,96.11,74.1,2.48
Pevek,75,RU,1630304457,70,69.7008,170.3133,38.8,4.9
Soe,94,ID,1630304457,24,-9.8607,124.284,84.96,11.97
Mangai,49,CD,1630304457,78,-4.05,19.5333,76.08,2.15
Manuk Mangkaw,68,PH,1630304458,73,4.8,119.85,82.78,3.96
Poum,99,NC,1630304458,74,-20.2333,164.0167,73.33,7.7
Kalevala,11,RU,1630304458,68,65.2,31.1667,49.91,4.59
Keetmanshoop,0,NA,1630304459,16,-26.5833,18.1333,50.92,10.36
Ladário,0,BR,1630304459,81,-19.0047,-57.6017,67.15,2.62
Port Moresby,40,PG,1630304459,62,-9.4431,147.1797,87.22,17.27
Muros,89,ES,1630304460,94,42.7762,-9.0603,63.23,3.22
Olafsvik,100,IS,1630304460,96,64.8945,-23.7142,52.74,10.74
Kanigoro,97,ID,1630304460,59,-8.13,112.219,84.36,12.12
Cabul-an,98,PH,1630304461,69,10.15,124.05,84.72,5.12
Sayyan,88,YE,1630304461,21,15.1718,44.3244,72.95,5.08
Pimenta Bueno,54,BR,1630304461,42,-11.6725,-61.1936,77.9,2.64
Msanga,72,TZ,1630304461,40,-6.05,36.0333,72.59,9.08
Parrita,89,CR,1630304180,87,9.5201,-84.3225,80.51,2.82
Simao,29,CN,1630304462,62,22.7886,100.9748,79.23,3.53
Morón,0,AR,1630304462,87,-34.6534,-58.6198,58.98,5.86
Laramie,1,US,1630304462,73,41.3114,-105.5911,59.09,3.0
São Gabriel da Cachoeira,100,BR,1630304463,100,-0.1303,-67.0892,71.55,1.7
Ixtapa,100,MX,1630304463,100,20.7,-105.2,75.22,3.38
Ziro,93,IN,1630304463,93,27.6333,93.8333,64.99,2.59
Águas Formosas,41,BR,1630304464,91,-17.0822,-40.9358,65.3,2.84
Vardø,75,NO,1630304464,87,70.3705,31.1107,51.55,8.05
Kalmunai,100,LK,1630304464,55,7.4167,81.8167,85.77,1.03
Pinawa,64,CA,1630304465,94,50.1489,-95.8811,55.53,4.0
Ucluelet,91,CA,1630304465,89,48.9329,-125.5528,61.09,9.86
Mackay,29,AU,1630304465,80,-21.15,149.2,77.04,10.31
Iqaluit,90,CA,1630304466,93,63.7506,-68.5145,40.73,0.0
Garden City,40,US,1630304466,95,42.3256,-83.331,73.98,10.36
Concepción,90,CL,1630304466,94,-36.827,-73.0498,53.4,4.61
Okoneshnikovo,62,RU,1630304467,46,54.8377,75.0834,59.7,13.02
Polyarny,80,RU,1630304467,73,69.1989,33.4478,39.67,7.09
Visby,40,SE,1630304467,94,57.6409,18.296,62.06,10.36
Mayo,1,US,1630304467,94,38.8876,-76.5119,75.9,0.0
Sitka,90,US,1630304468,76,57.0531,-135.33,55.29,4.61
Fomboni,49,KM,1630304468,77,-12.28,43.7425,78.17,8.79
Upernavik,98,GL,1630304469,80,72.7868,-56.1549,36.39,4.32
Coahuayana Viejo,100,MX,1630304469,93,18.7333,-103.6833,75.96,3.09
Naze,19,JP,1630304469,66,28.3667,129.4833,85.12,6.53
Fortuna,90,US,1630304469,74,40.5982,-124.1573,57.42,1.01
Coxim,0,BR,1630304470,74,-18.5067,-54.76,69.89,4.88
Wahiawā,1,US,1630304470,74,21.5028,-158.0236,77.32,0.0
Bilma,80,NE,1630304470,21,18.6853,12.9164,91.62,2.93
Cabedelo,28,BR,1630304471,82,-6.9811,-34.8339,74.07,12.35
Sørland,90,NO,1630304471,76,67.667,12.6934,53.67,11.5
Dingle,78,PH,1630304471,67,10.9995,122.6711,87.46,4.54
Tonj,100,SS,1630304472,84,7.2737,28.6822,72.07,4.14
Half Moon Bay,1,US,1630304383,87,37.4636,-122.4286,73.0,0.0
Springdale,1,US,1630304421,89,36.1867,-94.1288,73.99,3.44
Dunedin,10,NZ,1630304472,66,-45.8742,170.5036,43.81,1.01
Kavieng,85,PG,1630304472,76,-2.5744,150.7967,82.89,10.78
Ilulissat,75,GL,1630304473,93,69.2167,-51.1,35.62,2.3
Kibakwe,59,TZ,1630304473,36,-6.7167,36.3667,73.04,5.08
Biasca,23,CH,1630304473,78,46.3597,8.9697,63.32,6.51
Linjiang,14,CN,1630304473,39,41.8069,126.9078,79.74,11.45
Teacapan,100,MX,1630304474,96,22.55,-105.75,75.16,7.85
Gornozavodsk,63,RU,1630304474,60,58.3758,58.3211,53.91,8.25
Foam Lake,30,CA,1630304296,64,51.65,-103.5343,57.22,4.68
Olinda,40,BR,1630304474,65,-8.0089,-34.8553,76.73,8.05
Bethel,90,US,1630304475,93,41.3712,-73.414,72.03,3.44
Cabra,24,ES,1630304475,77,37.4725,-4.4421,64.9,1.52
Sarh,20,TD,1630304475,88,9.1429,18.3923,71.51,6.91
Port Hedland,33,AU,1630304476,54,-20.3167,118.5667,82.45,13.8
Kavaratti,100,IN,1630304476,81,10.5669,72.642,79.97,17.81
Buta,98,CD,1630304476,91,2.7858,24.73,71.74,1.79
Ambilobe,14,MG,1630304477,45,-13.2,49.05,85.15,2.48
Agropoli,8,IT,1630304477,64,40.3469,14.9966,77.29,4.99
Haţeg,92,RO,1630304477,90,45.6167,22.95,56.32,2.17
Souillac,75,MU,1630304478,69,-20.5167,57.5167,75.58,14.97
Boussé,100,BF,1630304478,77,12.6606,-1.8922,74.77,6.91
Walvis Bay,0,NA,1630304478,29,-22.9575,14.5053,49.15,5.75
Karpogory,100,RU,1630304479,82,64.0019,44.4451,47.03,3.91
Lorengau,16,PG,1630304479,69,-2.0226,147.2712,85.1,7.0
Assiut,0,EG,1630304479,26,27.181,31.1837,89.8,14.2
Drumnadrochit,99,GB,1630304480,85,57.3344,-4.4799,54.57,3.36
Rock Sound,2,BS,1630304480,74,24.9,-76.2,81.73,3.4
Labuhan,100,ID,1630304480,60,-6.8844,112.2051,87.15,11.63
Airai,100,TL,1630304480,31,-8.9266,125.4092,78.22,4.92
Alofi,40,NU,1630304481,83,-19.0595,-169.9187,73.29,9.22
Sioux Lookout,75,CA,1630304481,94,50.1001,-91.917,60.87,5.75
Angoche,40,MZ,1630304481,62,-16.2325,39.9086,76.98,13.24
Bathsheba,20,BB,1630304482,83,13.2167,-59.5167,77.61,3.44
Fort Frances,1,CA,1630304296,74,48.5999,-93.4003,57.42,5.75
Tapiramutá,59,BR,1630304482,99,-11.8472,-40.7914,58.51,3.58
Nelidovo,100,RU,1630304482,98,56.2211,32.7774,54.07,4.74
Hualmay,82,PE,1630304483,84,-11.0964,-77.6139,61.74,6.22
Namwala,3,ZM,1630304483,54,-15.7504,26.4384,69.35,11.56
Stykkisholmur,100,IS,1630304483,96,65.0757,-22.7297,53.02,7.78
Zhangaözen,0,KZ,1630304484,27,43.3,52.8,82.6,9.66
Sobolevo,100,RU,1630304484,95,54.4299,31.8996,59.88,8.46
Esperance,86,AU,1630304484,69,-33.8667,121.9,62.78,17.69
Zyryanka,80,RU,1630304485,41,65.75,150.85,66.78,5.39
Ndélé,100,CF,1630304485,95,8.4109,20.6473,68.4,1.95
Longyearbyen,75,SJ,1630304485,81,78.2186,15.6401,44.44,5.75
Rawson,100,AR,1630304486,54,-43.3002,-65.1023,56.86,9.26
Qasigiannguit,100,GL,1630304486,91,68.8193,-51.1922,35.85,1.81
Sandwick,40,GB,1630304486,76,60.0,-1.25,53.42,4.61
Bridlington,13,GB,1630304487,95,54.0831,-0.1919,59.18,18.19
Macapá,75,BR,1630304487,94,0.0389,-51.0664,80.58,4.61
Chihuahua,88,MX,1630304487,70,28.5,-106.0,68.05,6.13
Pécsvárad,69,HU,1630304487,81,46.1603,18.4232,55.17,8.97
Kruisfontein,25,ZA,1630304488,31,-34.0033,24.7314,57.88,7.09
Conakry,75,GN,1630304203,94,9.538,-13.6773,77.07,6.91
Province of Mantua,32,IT,1630304488,80,45.1667,10.7833,67.24,1.99
Bubaque,100,GW,1630304489,83,11.2833,-15.8333,77.74,20.36
Hamilton,75,US,1630304238,86,39.1834,-84.5333,78.78,3.44
Sherlovaya Gora,1,RU,1630304489,35,50.5667,116.25,74.03,7.72
São João da Barra,7,BR,1630304489,93,-21.6403,-41.0511,66.45,9.66
Tuatapere,5,NZ,1630304490,77,-46.1333,167.6833,45.82,3.8
Quimper,0,FR,1630304490,94,48.0,-4.1,55.96,6.91
Saint-Pierre,0,RE,1630304490,71,-21.3393,55.4781,76.68,4.61
Watertown,1,US,1630304490,90,42.3709,-71.1828,71.46,1.99
Santiago,90,CL,1630304255,93,-33.4569,-70.6483,47.35,8.05
Wakkanai,75,JP,1630304491,78,45.4094,141.6739,71.58,9.22
Vitim,77,RU,1630304491,43,59.4511,112.5578,76.08,5.17
Yumen,100,CN,1630304492,27,40.2833,97.2,78.57,23.53
Bambous Virieux,75,MU,1630304492,69,-20.3428,57.7575,75.45,14.97
Treinta y Tres,24,UY,1630304492,97,-33.2333,-54.3833,52.29,6.49
Seminole,1,US,1630304013,94,28.7086,-81.2081,81.21,4.61
Glens Falls,99,US,1630304410,90,43.3095,-73.644,71.92,1.01
Cañete,100,CL,1630304493,94,-37.8,-73.4,49.87,3.76
Omboué,87,GA,1630304493,89,-1.5746,9.2618,73.4,4.59
Catuday,79,PH,1630304493,72,16.2923,119.8062,82.24,5.21
Dikson,100,RU,1630304493,95,73.5069,80.5464,41.13,9.08
Usta Muhammad,2,PK,1630304494,26,28.1794,68.0445,103.33,4.34
Mossamedes,55,AO,1630304494,85,-15.1961,12.1522,62.49,0.4
Zhoucheng,100,CN,1630304494,95,35.9122,116.3117,73.24,1.43
Bilibino,96,RU,1630304495,61,68.0546,166.4372,51.31,8.46
Batagay,96,RU,1630304495,66,67.6333,134.6333,54.64,6.96
Anchorage,1,US,1630304247,82,61.2181,-149.9003,55.35,3.0
Rock Springs,1,US,1630304495,25,41.5875,-109.2029,63.84,8.05
Zhuhai,20,CN,1630304496,83,22.2769,113.5678,92.79,17.27
Prince Rupert,90,CA,1630304496,93,54.3161,-130.3201,53.29,2.3
Beloha,52,MG,1630304496,77,-25.1667,45.05,67.87,9.78
Haicheng,23,CN,1630304497,45,40.8516,122.7475,83.26,10.16
Linfen,100,CN,1630304497,91,36.0889,111.5189,67.21,4.94
Qaqortoq,51,GL,1630304497,63,60.7167,-46.0333,43.3,4.52
De Aar,1,ZA,1630304498,18,-30.6497,24.0123,45.32,5.08
San Vicente de Cañete,55,PE,1630304498,81,-13.0751,-76.3835,62.01,4.05
Belaya Gora,97,RU,1630304498,74,68.5333,146.4167,50.11,6.55
Samarai,82,PG,1630304498,83,-10.6167,150.6667,81.43,15.57
